100 kDa ileum brush border membrane protei	3.4.17.21
Fatty-acid-coenzyme A ligase, very long-chain	6.2.1.-
Fatty acid desaturas	1.14.19.-
Fatty acid desaturas	1.14.19.1
Fatty acid desaturase	1.14.19.-
Fatty acid desaturase	1.14.19.1
Fatty acid ethyl ester synthas	3.1.1.1
Fatty acid omega-hydroxylas	1.14.14.1
Fatty acid omega-hydroxylas	1.14.15.3
Fatty acid oxidation complex subunit alph	4.2.1.17
Fatty acid oxidation complex subunit bet	2.3.1.16
Fatty acid reductase	1.2.1.n2
Fatty acid synthas	2.3.1.85
Fatty acid synthase subunit alph	2.3.1.86
Fatty acid synthase subunit bet	2.3.1.86
Fatty acid transport protein	6.2.1.-
Fatty acid transport protein	6.2.1.7
Fatty acyl-ACP synthetas	6.2.1.20
Fatty acyl-[acyl-carrier-protein] synthetas	6.2.1.20
Fatty acyl-CoA hydrolase precursor, medium chai	3.1.2.-
Fatty acyl-CoA reductas	1.2.1.n2
Fatty acyl-CoA reductase	1.2.1.n2
Fatty acyl-CoA reductase 6, chloroplasti	1.2.1.n2
Fatty acyl-CoA synthetase	6.2.1.3
Fatty aldehyde dehydrogenas	1.2.1.3
Fatty liver dystrophy protei	3.1.3.4
F-box and leucine-rich repeat protein 1	1.14.11.27
F-box DNA helicase	3.6.4.12
F-box DNA helicase protein	3.6.4.12
F-box/LRR-repeat protein 1	1.14.11.27
F-box only protein 1	3.6.4.12
F-box protein FBL1	1.14.11.27
F-box protein FBL	1.14.11.27
F-box protein Lilin	1.14.11.27
FBP	4.1.2.13
FBPA	4.1.2.13
FBP aldolas	4.1.2.13
FBP aldolase	4.1.2.13
FBPas	3.1.3.11
FBPase	3.1.3.11
FBPase class 1	3.1.3.11
FBPase class 2/SBPas	3.1.3.11
FBPase class 2/SBPase	3.1.3.11
FBPase class	3.1.3.11
FBPase class 3	3.1.3.11
FBP-C	1.5.1.6
Fcc	1.3.99.1
FCM	2.1.1.100
FCP-like	3.1.3.16
FCPS/K	4.2.3.19
FCS	1.8.2.-
FD	1.1.1.1
FD	1.1.1.284
FD	1.2.1.2
FD	1.2.1.46
FDE	1.1.1.-
Fd-GOGA	1.4.7.1
FD-GOGA	1.4.7.1
Fd-GOGAT	1.4.7.1
FDH	1.1.1.284
FDH-	1.2.1.2
FDH	1.2.1.2
FDH-N subunit alph	1.2.1.2
FDH subunit alph	1.2.1.2
FDH-Z subunit alph	1.2.1.2
Fd-NADP+ reductas	1.18.1.2
Fd-NADP+ reductase	1.18.1.2
Fe(3+)-citrate import ATP-binding protein yfm	3.6.3.-
Fe(3+)-induced flavocytochrome C	1.3.99.1
Fe(3+) ions import ATP-binding protein Fbp	3.6.3.30
Fe(3+) ions import ATP-binding protein FbpC	3.6.3.30
Fe(3+)-Zn(2+) purple acid phosphatas	3.1.3.2
Fe(3+)-Zn(2+) purple acid phosphatase 1	3.1.3.2
Fe-AR	1.13.11.53
Fe-ARD	1.13.11.53
Fe-containing alcohol dehydrogenas	1.1.99.24
FED	1.2.99.-
[Fe] hydrogenas	1.12.7.2
Fe hydrogenlyas	1.12.7.2
Fe hydrogenlyase small chai	1.12.7.2
Fe(II) oxidas	1.16.3.-
Felix-in	3.4.-.-
Fels-2 prophage protei	3.1.-.-
Femalysi	3.4.24.-
Feminization of XX and XO animals protein	3.1.3.16
FEN-1-	3.1.-.-
FEN-	3.1.-.-
Fengycin synthase-activating enzym	2.7.8.-
Fenpropimorph resistance multicopy suppressor	1.5.3.17
Fe-only hydrogenas	1.12.7.2
Fermentative lactate dehydrogenas	1.1.1.28
Ferredoxi	1.18.1.3
Ferredoxin-dependent glutamate synthas	1.4.7.1
Ferredoxin-dependent glutamate synthase	1.4.7.1
Ferredoxin-dependent glutamate synthase 1, chloroplasti	1.4.7.1
Ferredoxin-dependent glutamate synthase 2, chloroplasti	1.4.7.1
Ferredoxin-dependent glutamate synthase, chloroplasti	1.4.7.1
Ferredoxin--NADP reductas	1.18.1.2
Ferredoxin--NADP(+) reductas	1.18.1.2
Ferredoxin--NADP reductase	1.18.1.2
Ferredoxin--NADP reductase, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, cyanell	1.18.1.2
Ferredoxin--NADP reductase, embryo isozyme, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, leaf isozyme 1, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, leaf isozyme 2, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, leaf isozyme, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, leaf-type isozyme, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, root isozyme 1, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, root isozyme 2, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, root isozyme, chloroplasti	1.18.1.2
Ferredoxin--NADP reductase, root-type isozyme, chloroplasti	1.18.1.2
Ferredoxin--NAD(+) reductas	1.18.1.3
Ferredoxin--nitrite reductas	1.7.7.1
Ferredoxin--nitrite reductase, chloroplasti	1.7.7.1
Ferredoxin oxidoreductase 1 subunit delt	1.-.-.-
Ferredoxin oxidoreductase 1 subunit for	1.-.-.-
Ferredoxin oxidoreductase 2 subunit delt	1.-.-.-
Ferredoxin oxidoreductase 2 subunit for	1.-.-.-
Ferredoxin reductas	1.18.1.2
Ferredoxin-thioredoxin reductase, catalytic chai	1.18.-.-
Ferredoxin-thioredoxin reductase catalytic chain, chloroplasti	1.18.-.-
Ferredoxin-thioredoxin reductase subunit	1.18.-.-
Ferri-bacillibactin esterase Bes	3.1.-.-
Ferric-chelate reductas	1.16.1.7
Ferric-chelate reductase	1.-.-.-
Ferric-chelate reductase	1.16.1.-
Ferric-chelate reductase	1.16.1.7
Ferric-citrate import ATP-binding protei	3.6.3.-
Ferric/cupric reductase transmembrane component	1.16.1.-
Ferrichrome siderophore peptide synthetas	6.-.-.-
Ferrichrome transport ATP-binding protein fhu	3.6.3.34
Ferric hydroxamate uptake protein	3.6.3.34
Ferric reductase	1.16.1.7
Ferric reductase transmembrane component	1.16.1.-
Ferric reductase transmembrane component	1.16.1.7
Ferrisiderophore reductase	1.5.1.29
Ferriti	1.16.3.1
Ferritin-	1.16.3.1
Ferritin	1.16.3.1
Ferritin-1, chloroplasti	1.16.3.1
Ferritin-1 heavy chai	1.16.3.1
Ferritin-2, chloroplasti	1.16.3.1
Ferritin-2 heavy chai	1.16.3.1
Ferritin-3, chloroplasti	1.16.3.1
Ferritin-4, chloroplasti	1.16.3.1
Ferritin, chloroplasti	1.16.3.1
Ferritin H	1.16.3.1
Ferritin heavy chai	1.16.3.1
Ferritin heavy chain	1.16.3.1
Ferritin heavy chain-like protei	1.16.3.1
Ferritin heavy chain, oocyte isofor	1.16.3.1
Ferritin, heavy subuni	1.16.3.1
Ferritin, higher subuni	1.16.3.1
Ferritin H subuni	1.16.3.1
Ferritin-like protei	1.16.-.-
Ferritin, liver middle subuni	1.16.3.1
Ferritin, middle subuni	1.16.3.1
Ferritin, mitochondria	1.16.3.1
Ferritin repressor protei	4.2.1.3
Ferritin, spleen middle subuni	1.16.3.1
Ferritin subuni	1.16.3.1
Ferrochelatas	4.99.1.1
Ferrochelatase-1, chloroplasti	4.99.1.1
Ferrochelatase-1, chloroplastic/mitochondria	4.99.1.1
Ferrochelatase-2, chloroplasti	4.99.1.1
Ferrochelatase	4.99.1.1
Ferrochelatase I	4.99.1.1
Ferrochelatase, mitochondria	4.99.1.1
Ferroxidas	1.16.3.1
Fertilin subunit alph	3.4.24.-
Fertilin subunit alpha-	3.4.24.-
Ferulate-5-hydroxylas	1.14.-.-
Ferulic acid esterase	3.1.1.73
Ferulic acid esterase B-	3.1.1.73
Ferulic acid esterase C-	3.1.1.73
Feruloyl-CoA thioesteras	3.1.2.-
Feruloylesteras	3.1.1.73
Feruloyl esterase	3.1.1.73
FeSO	1.15.1.1
FeSOD	1.15.1.1
Fetal brain protein 23	3.1.-.-
Fetal brain protein 239 homolo	3.1.-.-
Fetal hepatic flavin-containing monooxygenase	1.14.13.8
Fetal liver kinase 1	2.7.10.1
Fetal liver kinase	2.7.10.1
Fetal liver phosphatase	3.1.3.48
FF	2.4.1.243
FFA-	3.6.4.12
FG	3.1.2.12
FGAM	6.3.5.3
FGAM synthas	6.3.5.3
FGAM synthase	6.3.5.3
FGAM synthase I	6.3.5.3
FGARA	6.3.5.3
FGF-induced in gastric cance	6.3.2.-
FGF-inducible kinas	2.7.11.21
FGFR-1-	2.7.10.1
FGFR-	2.7.10.1
FGGY carbohydrate kinase domain-containing protei	2.7.1.-
FGP	3.4.19.9
FH	1.14.11.9
FH	1.14.12.17
Fh	2.5.1.18
Fh4	2.5.1.18
Fh5	2.5.1.18
FH	6.3.4.3
FHA-HI	3.-.-.-
FHA-HIT-interacting protei	2.4.2.11
FHS	6.3.4.3
FI	2.1.1.-
F-I	3.4.21.-
FIA-xylanas	3.2.1.8
Fibrillarin-like protein	2.1.1.-
Fibrillarin-like rRNA/tRNA 2'-O-methyltransferas	2.1.1.-
Fibrinlysi	3.4.24.-
Fibrinogen-clotting enzyme TL-BJ isoform	3.4.21.-
Fibrinoligas	2.3.2.13
Fibrinolytic enzym	3.4.-.-
Fibrinolytic enzym	3.4.21.-
Fibrinolytic enzyme, isozyme	3.4.21.-
Fibrinolytic enzyme large subuni	3.4.-.-
Fibrinolytic proteas	3.4.21.-
Fibrinolytic proteas	3.4.24.-
Fibrinolytic proteinas	3.4.24.72
Fibrinolytic zinc metalloproteinas	3.4.24.-
Fibroblast activation protein alph	3.4.21.-
Fibroblast collagenas	3.4.24.7
Fibroblast growth factor-inducible protein 1	3.1.3.16
Fibroblast growth factor recepto	2.7.10.1
Fibroblast growth factor receptor	2.7.10.1
Fibroblast growth factor receptor homolog	2.7.10.1
Fibroblast growth factor receptor-like embryonic kinas	2.7.10.1
Fibroblast growth factor-regulated protei	1.1.1.21
Fibronectin-binding protein	2.3.1.-
Fibrous sheath component	2.5.1.18
FIC domain-containing protei	2.7.7.n1
FI-CMCas	3.2.1.4
Fidgetin homolo	3.6.4.-
Fidgetin-like protein	3.6.4.-
FIH-	1.14.11.16
FIN1	3.1.3.16
FIS	2.7.11.1
FK506-binding nuclear protei	5.2.1.8
FK506-binding protei	5.2.1.8
FK506-binding protein 12-rapamycin complex-associated protein	2.7.11.1
FK506-binding protein 1	5.2.1.8
FK506-binding protein 2-	5.2.1.8
FK506-binding protein 2	5.2.1.8
FK506-binding protein 39 kD	5.2.1.8
FK506-binding protein	5.2.1.8
FK506-binding protein 5	5.2.1.8
FK506 sensitivity protein	2.4.1.34
Fkb	5.2.1.8
FKB	5.2.1.8
FKBP-12.	5.2.1.8
FKBP12-rapamycin complex-associated protei	2.7.11.1
FKBP-1	5.2.1.8
FKBP-15-	5.2.1.8
FKBP20-	5.2.1.8
FKBP-2	5.2.1.8
FKBP2	5.2.1.8
FKBP-3	5.2.1.8
FKBP-	5.2.1.8
FKBP-5	5.2.1.8
FKBP5	5.2.1.8
FKBP-6	5.2.1.8
FKBP65R	5.2.1.8
FKBP-7	5.2.1.8
FKBPR3	5.2.1.8
FKBP-type 16 kDa peptidyl-prolyl cis-trans isomeras	5.2.1.8
FKBP-type 22 kDa peptidyl-prolyl cis-trans isomeras	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomeras	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomerase 3, chloroplasti	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomerase 6, chloroplasti	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomerase, chloroplasti	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomerase fkp	5.2.1.8
FKBP-type peptidyl-prolyl cis-trans isomerase sly	5.2.1.8
FL	1.1.1.284
FL	1.14.11.23
FL	1.5.1.30
Flagellar motor switch phosphatase Fli	3.-.-.-
Flagellar motor switch protein Fli	3.-.-.-
Flagellum-specific ATP synthas	3.6.3.14
Flap endonuclease 1-	3.1.-.-
Flap endonuclease 1	3.1.-.-
Flap endonuclease	3.1.-.-
Flap endonuclease GE	3.1.-.-
Flap endonuclease GEN homolog	3.1.-.-
Flap endonuclease GEN-like	3.1.-.-
Flap structure-specific endonucleas	3.1.-.-
Flap structure-specific endonuclease 1-	3.1.-.-
Flap structure-specific endonuclease	3.1.-.-
Flap structure-specific endonuclease GE	3.1.-.-
Flavanone 3-beta-hydroxylas	1.14.11.9
Flavanone 3-dioxygenas	1.14.11.9
Flavanone 3-hydroxylas	1.14.11.9
Flavanone-3-hydroxylas	1.14.11.9
Flavanone 4-reductas	1.1.1.219
Flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferas	2.4.1.236
Flavastaci	3.4.24.76
Flavin adenine dinucleotide synthas	2.7.7.2
Flavin-containing amine oxidase domain-containing protein	1.-.-.-
Flavin-containing monooxygenase	1.14.13.8
Flavin-containing monooxygenase FMO GS-OX	1.8.-.-
Flavin-dependent monooxygenas	1.14.13.-
Flavin mononucleotide kinase	2.7.1.26
Flavin:NADH reductas	1.5.1.-
Flavin reductas	1.5.1.30
Flavin reductase	1.6.99.-
Flavin-type monooxygenas	1.14.13.n3
Flavocytochrome	1.1.99.31
Flavocytochrome	1.3.99.1
Flavocytochrome c	1.3.99.1
Flavocytochrome c flavoprotein subuni	1.8.2.-
Flavodoxin reductas	1.18.1.2
Flavohemoglobi	1.14.12.17
Flavohemoglobin	1.14.12.17
Flavohemoprotei	1.14.12.17
Flavohemoprotein	1.14.12.17
Flavohemoprotein b5/b5	1.6.2.2
Flavokinas	2.7.1.161
Flavokinas	2.7.1.26
Flavokinas	2.7.7.2
Flavone synthas	1.14.11.22
Flavone synthase	1.14.11.22
Flavone synthase I	1.14.13.87
Flavonoid 3',5'-hydroxylas	1.14.13.88
Flavonoid 3',5'-hydroxylase	1.14.13.88
Flavonoid 3'-hydroxylas	1.14.13.21
Flavonoid 3'-monooxygenas	1.14.13.21
Flavonoid 3-O-glucosyltransferas	2.4.1.-
Flavonol 2,4-dioxygenas	1.13.11.24
Flavonol-3-O-glucoside L-rhamnosyltransferas	2.4.1.159
Flavonol 3-O-glucosyltransferas	2.4.1.115
Flavonol 3-O-glucosyltransferase	2.4.1.115
Flavonol-3-O-glycoside-7-O-glucosyltransferase	2.4.1.-
Flavonol 3-O-methyltransferase	2.1.1.76
Flavonol 3-sulfotransferas	2.8.2.-
Flavonol 4'-sulfotransferas	2.8.2.-
Flavonol sulfotransferase-lik	2.8.2.-
Flavonol synthase/flavanone 3-hydroxylas	1.14.11.23
Flavoprotein	1.-.-.-
Flavoprotein subunit 1 of complex I	1.3.5.1
Flavoprotein subunit 2 of complex I	1.3.5.1
Flavoprotein subunit of complex I	1.3.5.1
Flavoprotein subunit of complex II	1.3.5.1
FlavoRb reductas	1.18.1.-
Flavorubredoxin reductas	1.18.1.-
Flax-inducible sequence	1.2.1.3
FL cy	1.3.99.1
FL cytokine recepto	2.7.10.1
FLD	1.1.1.284
FLD	1.18.1.2
Fletcher facto	3.4.21.34
FLIC	3.4.22.61
FLICE	3.4.22.63
Flippase expressed in testis	3.6.3.1
FLK-1	2.7.10.1
FLK-	2.7.10.1
Flocculent-specific protein	3.2.1.10
Floral nectary-specific protein	2.1.1.141
FLP-	3.1.3.48
FlRd-reductas	1.18.1.-
FLS	1.14.11.23
FLT-	2.7.10.1
Fluoride-resistant protein	2.7.11.1
Fluoroquinolones export ATP-binding protein Rv2688c/MT276	3.6.3.-
FLX	1.18.1.2
FM	2.3.1.12
FMKH epimeras	5.-.-.-
FMN adenylyltransferas	2.7.1.26
FMN adenylyltransferas	2.7.7.2
FMN cyclas	2.7.1.29
FMN-dependent NADH-azo compound oxidoreductas	1.7.-.-
FMN-dependent NADH-azo compound oxidoreductase	1.7.-.-
FMN-dependent NADH-azoreductas	1.7.-.-
FMN-dependent NADH-azoreductase	1.7.-.-
FMN-dependent NADPH-azoreductas	1.7.-.-
FMN-dependent nitroreductas	1.-.-.-
FMNH2-dependent aliphatic sulfonate monooxygenas	1.14.14.5
FMNH2-dependent aliphatic sulfonate monooxygenase	1.14.14.5
FMNH2-dependent methanesulfonate monooxygenas	1.14.14.5
FMN protein fpr	1.-.-.-
FMN reductas	1.5.1.29
FMN reductase C4B3.06	1.5.1.29
FMN reductase LOT	1.5.1.29
FMO	1.14.13.8
FMO 1A	1.14.13.8
FMO 1B	1.14.13.8
FMO 1C	1.14.13.8
FMO 1D	1.14.13.8
FMO 1E	1.14.13.8
FMO form	1.14.13.8
FMO I	1.14.13.8
FmP	3.2.1.15
Fms-like tyrosine kinase	2.7.10.1
FN	1.1.1.219
FN	1.18.1.2
FN3K-R	2.7.1.-
FN3K-related protei	2.7.1.-
FNIP repeat-containing protein	2.7.11.1
FNR-	1.18.1.2
FNR	1.18.1.2
Focal adhesion kinase	2.7.10.2
Focus-forming activity	3.6.4.12
Folate-binding protei	2.1.1.20
Folate-dependent tRNA(M-5-U54)-methyltransferas	2.1.1.74
Folate-dependent tRNA(M-5-U54)-methyltransferase	2.1.1.74
Folate-dependent tRNA (uracil-5-)-methyltransferas	2.1.1.74
Folate-dependent tRNA (uracil-5-)-methyltransferase	2.1.1.74
Folate hydrolase G	3.4.17.11
Folate synthesis bifunctional protei	2.7.6.3
Foldase protein prs	5.2.1.8
Foldase protein prsA	5.2.1.8
Folic acid synthesis protein fol	4.1.2.25
Folic acid synthesis protein FOL	4.1.2.25
Follicular variant translocation protein	1.1.1.102
Follicular variant translocation protein 1 homolo	1.1.1.102
Folylpoly-gamma-glutamate car	3.4.17.21
Folylpoly-gamma-glutamate synthetas	6.3.2.17
Folylpolyglutamate hydrolas	3.4.19.9
Folylpolyglutamate synthas	6.3.2.17
Folylpolyglutamate synthase, mitochondria	6.3.2.17
Foraging protei	2.7.11.12
Forkhead-associated domain histidine triad-like protei	3.-.-.-
Forkhead-associated kinase protein	2.7.11.1
Forkhead-associated protein kinase	2.7.11.1
Formaldehyde-activating enzym	4.3.-.-
Formaldehyde transketolas	2.2.1.3
Formamidas	3.5.1.49
Formamide amidohydrolas	3.5.1.49
Formamide hydrolyas	4.2.1.66
Formamidopyrimidine-DNA glycosylas	3.2.2.23
Formate acetyltransferas	2.3.1.54
Formate acetyltransferase	2.3.1.54
Formate-C-acetyltransferase-activating enzym	1.97.1.4
Formate-C-acetyltransferase-activating enzyme	1.97.1.4
Formate dehydrogenas	1.2.1.2
Formate dehydrogenase	1.2.1.2
Formate dehydrogenase 1, mitochondria	1.2.1.2
Formate dehydrogenase 2, mitochondria	1.2.1.2
Formate dehydrogenase-H subunit alph	1.2.1.2
Formate dehydrogenase large subuni	1.2.1.2
Formate dehydrogenase major subuni	1.2.1.2
Formate dehydrogenase, mitochondria	1.2.1.2
Formate dehydrogenase, nitrate-inducible, major subuni	1.2.1.2
Formate dehydrogenase-N subunit alph	1.2.1.2
Formate dehydrogenase-O major subuni	1.2.1.2
Formate dehydrogenase-O subunit alph	1.2.1.2
Formate dehydrogenase subunit alph	1.2.1.2
Formate dehydrogenase subunit bet	1.2.1.2
Formate-dependent GAR transformylas	2.1.2.-
Formate ester dehydrogenase beta chai	1.2.99.-
Formate ester dehydrogenase gamma chai	1.2.99.-
Formate-hydrogen-lyase-linked, selenocysteine-containing polypeptid	1.2.1.2
Formate--tetrahydrofolate ligas	6.3.4.3
Formate--tetrahydrofolate ligase	6.3.4.3
Formimidoylglutamas	3.5.3.8
Formimidoyltetrahydrof	2.1.2.5
Formimidoyltetrahydrofolate cyclodeaminas	2.1.2.5
Formimidoyltransferase-cyclodeaminas	2.1.2.5
Formiminoglutamas	3.5.3.8
Formiminoglutamate hydrolas	3.5.3.8
Formiminotransferase-cyclodeaminas	2.1.2.5
Formylaminopyrimidine deformylas	3.5.1.-
Formyl-CoA transferas	2.8.3.16
Formyl-coenzyme A transferas	2.8.3.16
Formyl-FH(4) hydrolas	3.5.1.10
Formylglycinamide ribotide amidotransferas	6.3.5.3
Formylglycinamide ribotide synthetas	6.3.5.3
Formylmethanofuran--tetrahydromethanopterin formyltransferas	2.3.1.101
Formyltetrahydrofolate deformylas	3.5.1.10
Formyltetrahydrofolate synthetas	1.5.1.5
Formyltetrahydrofolate synthetas	6.3.4.3
Formyltetrahydrofolate synthetase	6.3.4.3
Formyltransferase/hydrolase complex subunit	2.3.1.101
Forssman glycolipid synthas	2.4.1.88
Forssman glycolipid synthase-like protei	2.4.1.-
Fortimicin A-resistance methyltransferas	2.1.1.-
Fortimicin KH epimeras	5.-.-.-
Fosfomycin resistance protei	2.5.1.-
Fosfomycin resistance protei	2.5.1.18
Fosfomycin resistance protein	2.5.1.-
Fos intronic gene protei	3.1.3.16
FO synthas	2.5.1.-
FO synthase subunit 2	2.5.1.-
FO synthase subunit	2.5.1.-
Found in mitochondrial proteome protein 3	2.8.1.1
Found in mitochondrial proteome protein 3	3.1.4.-
Found in mitochondrial proteome protein 4	1.-.-.-
Fourth terminal oxidas	1.9.3.1
Fp	1.14.13.9
FP	2.5.1.1
FPG	3.2.2.-
FPG	6.3.2.17
FPP:FPP farnesyltransferas	2.5.1.21
FPP synthas	2.5.1.1
FPP synthas	2.5.1.10
FPP synthase	2.5.1.1
F protei	1.13.11.27
FPS	2.5.1.1
FR	1.12.98.1
Fragile histidine triad protei	3.6.1.29
Fragile histidine triad protein homolo	3.6.1.29
Fragile site FRA16D oxidoreductas	1.1.1.-
Fragilysi	3.4.24.74
Fragmenti	3.4.21.-
Fragmentin-	3.4.21.-
Fragmentin-	3.4.21.78
Fragmentin-	3.4.21.79
FRAP-related protein	2.7.11.1
FRASE	1.6.99.-
Free methionine-R-sulfoxide reductas	1.8.4.14
Frin	6.3.2.-
Fringe glycosyltransferas	2.4.1.222
fRMs	1.8.4.14
Fructan 1-exohydrolas	3.2.1.153
Fructan 1-exohydrolase w	3.2.1.153
Fructan 6-exohydrolas	3.2.1.154
Fructanas	3.2.1.80
Fructan beta-fructosidas	3.2.1.80
Fructokinas	2.7.1.4
Fructokinase-	2.7.1.4
Fructokinase	2.7.1.4
Fructokinase I	2.7.1.4
Fructosamine-3-kinas	2.7.1.-
Fructosamine-3-kinase-related protei	2.7.1.-
Fructosamine deglycase frl	3.5.-.-
Fructosamine kinase frl	2.7.1.-
Fructose-1,6-bisphosphatas	3.1.3.11
Fructose-1,6-bisphosphatase	3.1.3.11
Fructose-1,6-bisphosphatase, chloroplasti	3.1.3.11
Fructose-1,6-bisphosphatase class 1	3.1.3.11
Fructose-1,6-bisphosphatase class	3.1.3.11
Fructose-1,6-bisphosphatase class 3	3.1.3.11
Fructose-1,6-bisphosphatase, cytosoli	3.1.3.11
Fructose-1,6-bisphosphatase F-	3.1.3.11
Fructose-1,6-bisphosphatase F-I	3.1.3.11
Fructose-1,6-bisphosphatase isozyme	3.1.3.11
Fructose-1,6-bisphosphate aldolas	4.1.2.13
Fructose-1,6-bisphosphate aldolase	4.1.2.13
Fructose 1-phosphate kinas	2.7.1.56
Fructose-2,6-bisphosph	2.7.1.105
Fructose-2,6-bisphosphatas	2.7.1.105
Fructose-2,6-bisphosphatas	3.1.3.46
Fructose 5-dehydrogenase [NADP+	1.1.1.124
Fructose-6-phosphate aldolase	4.1.2.-
Fructose-biphosphate aldolase class	4.1.2.13
Fructose-bisphosphate aldolas	4.1.2.13
Fructose-bisphosphate aldolase 1, chloroplasti	4.1.2.13
Fructose-bisphosphate aldolase 2, chloroplasti	4.1.2.13
Fructose-bisphosphate aldolase	4.1.2.13
Fructose-bisphosphate aldolase C-	4.1.2.13
Fructose-bisphosphate aldolase, chloroplasti	4.1.2.13
Fructose-bisphosphate aldolase, chromosoma	4.1.2.13
Fructose-bisphosphate aldolase class	4.1.2.13
Fructose-bisphosphate aldolase class I	4.1.2.13
Fructose-bisphosphate aldolase cytoplasmic isozym	4.1.2.13
Fructose-bisphosphate aldolase, cytoplasmic isozym	4.1.2.13
Fructose-bisphosphate aldolase, cytoplasmic isozyme	4.1.2.13
Fructose-bisphosphate aldolase, glycosoma	4.1.2.13
Fructose-bisphosphate aldolase I	4.1.2.13
Fructose-bisphosphate aldolase, muscle typ	4.1.2.13
Fructose-bisphosphate aldolase, non-muscle typ	4.1.2.13
Fructose-bisphosphate aldolase, plasmi	4.1.2.13
Fructose-like permease IIC componen	2.7.1.69
Fructose-like phosphotransferase enzyme	2.7.3.9
Fructose-like phosphotransferase enzyme IIA componen	2.7.1.-
Fructose-like phosphotransferase enzyme IIA componen	2.7.3.9
Fructose-like phosphotransferase enzyme IIA component	2.7.3.9
Fructose-like phosphotransferase enzyme IIB componen	2.7.1.69
Fructose-like phosphotransferase enzyme IIB component	2.7.1.69
Fructose-like PTS system EIIBC componen	2.7.1.69
Fructoselysine 6-phosphate deglycas	3.5.-.-
Fructoselysine kinas	2.7.1.-
Fructose permease IIC componen	2.7.1.69
Fructose PTS diphosphoryl transfer protei	2.7.1.-
Fructose-specific phosphotransferase enzyme IIA componen	2.7.1.-
Fructose-specific phosphotransferase enzyme IIA componen	2.7.3.9
Fructose-specific phosphotransferase enzyme IIB componen	2.7.1.-
Fructose-specific phosphotransferase enzyme IIB componen	2.7.1.69
Fructuronate reductas	1.1.1.57
Fruit bromelai	3.4.22.33
Fruit-ripening protein E	1.8.4.11
Fruit-ripening-specific protein pTOM	2.5.1.32
FSA	3.4.21.-
FS-AT-	1.3.1.42
Fsc	2.5.1.18
FsMAP	2.7.11.24
fSP	1.11.1.15
FT4-	2.4.1.-
FT8	2.4.1.-
FTase-alph	2.5.1.58
FTase-bet	2.5.1.58
FTC	2.1.2.5
FTHF	6.3.4.3
FTHFS	6.3.4.3
Ftp-	3.1.3.48
FTR-	1.18.-.-
FtsHC	3.4.24.-
FtsJ methyltransferase domain-containing protein 1 homolo	2.1.1.-
FtsJ methyltransferase domain-containing protein	2.1.1.-
Fuc4NAc transferas	2.4.1.-
FucIas	5.3.1.25
Fucokinas	2.7.1.52
Fucose 1-epimeras	5.1.3.n2
Fucose-1-phosphate guanylyltransferas	2.7.7.30
Fucosylgalactoside 3-alpha-galactosyltransferas	2.4.1.37
Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferas	2.4.1.40
Fucosyltransferase 1	2.4.1.-
Fucosyltransferase 1	2.4.1.214
Fucosyltransferase 1	2.4.1.69
Fucosyltransferase	2.4.1.-
Fucosyltransferase	2.4.1.65
Fucosyltransferase	2.4.1.68
Fucosyltransferase	2.4.1.69
Fucosyltransferase I	2.4.1.-
Fucosyltransferase II	2.4.1.65
Fucosyltransferase V	2.4.1.65
Fucosyltransferase VI	2.4.1.-
Fucosyltransferase X	2.4.1.-
Fuc-T	2.4.1.-
FucT-	2.4.1.-
FucT	2.4.1.-
FucT	2.4.1.214
Fuc-T	2.4.1.65
FucT-	2.4.1.65
Fuc-T C	2.4.1.214
Fuc-TI	2.4.1.-
FucT-I	2.4.1.-
FucT-II	2.4.1.65
Fuc-TV	2.4.1.65
FucT-V	2.4.1.65
Fuc-TVI	2.4.1.-
FucT-VI	2.4.1.-
Fuc-TX	2.4.1.-
FucT-X	2.4.1.-
Fukuti	2.-.-.-
Fukutin-related protei	2.-.-.-
Fukuyama-type congenital muscular dystrophy protei	2.-.-.-
Fumaras	4.2.1.2
Fumarase	4.2.1.2
Fumarase C	4.2.1.2
Fumarate hydratase 1, mitochondria	4.2.1.2
Fumarate hydratase 2, chloroplasti	4.2.1.2
Fumarate hydratase class I	4.2.1.2
Fumarate hydratase class I, aerobi	4.2.1.2
Fumarate hydratase class I, anaerobi	4.2.1.2
Fumarate hydratase class II	4.2.1.2
Fumarate hydratase, mitochondria	4.2.1.2
Fumarate reductas	1.3.1.6
Fumarate reductase flavoprotein subuni	1.3.99.1
Fumarate reductase iron-sulfur subuni	1.3.99.1
